GeneSymbol_EnsemblGeneID,alpha7G_Control_Male,alpha7G_Smoked_Male,alpha7E260A:G_Control_Male,alpha7E260A:G_Smoked_Male,alpha7G_C_Female,alpha7G_Smoked_Female,alpha7E260A:G_C_Female,alpha7E260A:G_Smoked_Female
0610007C21Rik_ENSMUSG00000013622.8,513,1009,493,623,649,911,1229,1081
0610007L01Rik_ENSMUSG00000053094.8,399,380,340,325,450,349,428,349
0610007P08Rik_ENSMUSG00000021470.10,506,332,358,451,527,298,324,311
0610007P14Rik_ENSMUSG00000021252.5,200,326,163,146,248,281,264,269
0610007P22Rik_ENSMUSG00000015126.8,162,206,114,132,203,212,236,191
0610009B22Rik_ENSMUSG00000007777.3,130,285,93,202,242,251,350,336
0610009D07Rik_ENSMUSG00000037361.7,644,1380,532,645,871,1180,1872,1206
0610009L18Rik_ENSMUSG00000043644.4,11,19,11,13,26,14,22,15
0610009O20Rik_ENSMUSG00000024442.5,311,342,294,308,295,337,253,286
0610010F05Rik_ENSMUSG00000042208.8,268,206,291,252,287,158,268,196
0610010K14Rik_ENSMUSG00000020831.10,275,410,197,231,317,415,486,406
0610010O12Rik_ENSMUSG00000046727.6,234,757,172,235,479,504,291,554
0610011F06Rik_ENSMUSG00000025731.8,198,396,115,169,288,283,275,251
0610011L14Rik_ENSMUSG00000027628.4,169,208,176,184,277,231,208,211
0610012H03Rik_ENSMUSG00000055312.2,0,0,0,0,0,0,0,0
0610030E20Rik_ENSMUSG00000058706.3,83,41,92,74,81,72,70,32
0610031J06Rik_ENSMUSG00000001418.6,1346,1903,1513,1953,1632,1891,2593,2391
0610037L13Rik_ENSMUSG00000028608.9,221,313,170,219,223,255,354,297
0610037P05Rik_ENSMUSG00000022677.8,169,236,114,183,227,254,317,243
0610039K10Rik_ENSMUSG00000058812.1,1,5,0,0,0,2,0,0
0610040J01Rik_ENSMUSG00000060512.3,129,157,75,62,111,103,79,122
0910001L09Rik_ENSMUSG00000050552.7,421,853,344,481,594,791,1315,909
1100001G20Rik_ENSMUSG00000051748.2,217,969,365,708,524,895,2410,1786
1110001A16Rik_ENSMUSG00000062691.3,48,124,32,63,90,105,180,100
1110001J03Rik_ENSMUSG00000019689.4,122,340,84,123,138,287,329,184
1110002B05Rik_ENSMUSG00000044408.6,167,235,105,162,283,253,266,280
1110002E22Rik_ENSMUSG00000090066.1,0,0,0,0,0,0,0,0
1110002L01Rik_ENSMUSG00000071456.1,13,10,9,14,3,8,0,5
1110002N22Rik_ENSMUSG00000046909.9,110,149,85,90,112,127,193,170
1110003E01Rik_ENSMUSG00000037822.6,423,692,286,396,514,606,515,442
1110003O08Rik_ENSMUSG00000052934.4,47,35,57,22,18,37,45,28
1110004E09Rik_ENSMUSG00000022972.3,491,846,448,549,916,942,983,869
1110004F10Rik_ENSMUSG00000030663.6,378,481,305,381,418,526,638,635
1110005A03Rik_ENSMUSG00000090266.2,298,511,154,169,374,426,381,229
1110006G14Rik_ENSMUSG00000030664.3,0,0,0,1,0,0,5,0
1110007C09Rik_ENSMUSG00000037960.9,294,438,236,287,310,411,286,343
1110008E08Rik_ENSMUSG00000046119.1,0,0,0,0,0,0,0,0
1110008F13Rik_ENSMUSG00000027637.3,176,359,161,170,312,261,408,282
1110008J03Rik_ENSMUSG00000029600.3,43,62,48,38,68,71,30,39
1110008L16Rik_ENSMUSG00000021023.7,75,146,81,63,131,128,123,77
1110008P14Rik_ENSMUSG00000039195.4,157,433,106,170,232,262,584,362
1110012D08Rik_ENSMUSG00000047090.7,63,85,107,108,39,70,52,81
1110012J17Rik_ENSMUSG00000052105.8,145,80,151,74,114,118,40,57
1110012L19Rik_ENSMUSG00000045237.5,86,194,62,67,154,133,172,142
1110014N23Rik_ENSMUSG00000024797.6,638,607,617,684,612,572,685,599
1110017D15Rik_ENSMUSG00000028441.6,418,1164,415,482,1027,923,922,811
1110017F19Rik_ENSMUSG00000075420.6,164,488,28,67,268,344,74,140
1110018G07Rik_ENSMUSG00000042350.7,441,278,544,367,353,271,312,222
1110018J18Rik_ENSMUSG00000021482.8,132,105,125,155,193,181,175,188
1110020G09Rik_ENSMUSG00000022253.7,167,166,132,164,179,142,153,122
1110021J02Rik_ENSMUSG00000024018.11,30,91,41,51,39,66,138,92
1110021L09Rik_ENSMUSG00000037455.9,128,108,90,124,181,132,87,133
1110025L11Rik_ENSMUSG00000068073.1,0,0,0,0,0,0,0,0
1110028C15Rik_ENSMUSG00000026004.8,278,179,201,185,248,168,120,127
1110031I02Rik_ENSMUSG00000025169.6,125,185,63,120,154,169,209,170
1110032A03Rik_ENSMUSG00000037971.3,275,637,246,384,576,606,677,646
1110032A04Rik_ENSMUSG00000043461.7,21,61,60,113,19,48,101,136
1110032F04Rik_ENSMUSG00000046999.2,1,5,1,0,3,2,0,0
1110034A24Rik_ENSMUSG00000020973.6,214,201,190,205,468,238,292,250
1110034B05Rik_ENSMUSG00000048495.9,146,108,118,101,159,117,205,172
1110034G24Rik_ENSMUSG00000044991.4,114,209,120,127,168,163,251,176
1110037F02Rik_ENSMUSG00000040720.9,1343,768,1531,1296,1270,833,776,967
1110038D17Rik_ENSMUSG00000033416.8,196,135,192,171,164,154,100,114
1110038F14Rik_ENSMUSG00000063236.5,212,284,150,205,281,290,315,242
